|       pathname       |               function               |          callSite          |  destination   |             destinationLiteral             |         type          |   stripedType    | destinationSize |                                       location                                        |
| hw/sd/sdhci.c        | get_adma_description                 | call to dma_memory_read    | & ...          | &dscr->attr                                | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/sd/sdhci.c:724:9:724:23          |
| hw/sd/sdhci.c        | get_adma_description                 | call to dma_memory_read    | & ...          | &dscr->length                              | uint16_t *            | unsigned short   |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/sd/sdhci.c:726:9:726:23          |
| hw/sd/sdhci.c        | get_adma_description                 | call to dma_memory_read    | & ...          | &dscr->addr                                | hwaddr *              | unsigned long    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/sd/sdhci.c:729:9:729:23          |
| hw/usb/hcd-ehci.c    | ehci_advance_periodic_state          | call to get_dwords         | & ...          | &entry                                     | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ehci.c:2217:13:2217:22   |
| hw/usb/hcd-ehci.c    | ehci_state_waitlisthead              | call to get_dwords         | & ...          | &qh                                        | EHCIqh *              | EHCIqh           |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ehci.c:1534:13:1534:22   |
| hw/usb/hcd-ehci.c    | ehci_state_fetchqh                   | call to get_dwords         | & ...          | &qh                                        | EHCIqh *              | EHCIqh           |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ehci.c:1632:9:1632:18    |
| hw/usb/hcd-ehci.c    | ehci_state_fetchitd                  | call to get_dwords         | & ...          | &itd                                       | EHCIitd *             | EHCIitd          |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ehci.c:1711:9:1711:18    |
| hw/usb/hcd-ehci.c    | ehci_state_fetchsitd                 | call to get_dwords         | & ...          | &sitd                                      | EHCIsitd *            | EHCIsitd         |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ehci.c:1737:9:1737:18    |
| hw/usb/hcd-ehci.c    | ehci_state_fetchqtd                  | call to get_dwords         | & ...          | &qtd.token                                 | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ehci.c:1803:9:1803:18    |
| hw/usb/hcd-ehci.c    | ehci_state_fetchqtd                  | call to get_dwords         | & ...          | &qtd.next                                  | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-ehci.c:1807:9:1807:18    |
