|   src_pathname    |        src_function        |    src_access     |   dst_pathname    |    dst_access     |
| hw/net/pcnet.c    | pcnet_tdte_poll            | status            | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_tdte_poll            | status            | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_tdte_poll            | status            | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_tmd_load             | tbadr             | hw/net/pcnet.c    | tbadr             |
| hw/net/pcnet.c    | pcnet_tmd_load             | length            | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_tmd_load             | length            | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_tmd_load             | length            | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_tmd_load             | length            | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_tmd_load             | status            | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_tmd_load             | status            | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_tmd_load             | status            | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_tmd_load             | status            | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_tmd_load             | misc              | hw/net/pcnet.c    | tbadr             |
| hw/net/pcnet.c    | pcnet_tmd_load             | misc              | hw/net/pcnet.c    | tbadr             |
| hw/net/rtl8139.c  | rtl8139_cplus_transmit_one | val               | hw/net/rtl8139.c  | tx_addr           |
| hw/net/rtl8139.c  | rtl8139_cplus_transmit_one | val               | hw/net/rtl8139.c  | tx_addr           |
| hw/net/rtl8139.c  | rtl8139_cplus_transmit_one | val               | hw/net/rtl8139.c  | tx_addr           |
| hw/net/rtl8139.c  | rtl8139_cplus_transmit_one | val               | hw/net/rtl8139.c  | tx_addr           |
| hw/net/rtl8139.c  | rtl8139_do_receive         | val               | hw/net/rtl8139.c  | rx_addr           |
| hw/net/rtl8139.c  | rtl8139_do_receive         | val               | hw/net/rtl8139.c  | rx_addr           |
| hw/net/rtl8139.c  | rtl8139_do_receive         | val               | hw/net/rtl8139.c  | rx_addr           |
| hw/net/rtl8139.c  | rtl8139_do_receive         | val               | hw/net/rtl8139.c  | rx_addr           |
